time,temperature_2m_max,temperature_2m_min,precipitation_sum,date,city,latitude,longitude,month
2022-01-01,15.4,9.4,0.0,2022-01-01,Algiers,36.75,3.06,1
2022-01-02,16.2,7.2,0.0,2022-01-02,Algiers,36.75,3.06,1
2022-01-03,16.5,8.0,0.0,2022-01-03,Algiers,36.75,3.06,1
2022-01-04,18.2,6.8,0.0,2022-01-04,Algiers,36.75,3.06,1
2022-01-05,16.1,11.0,1.0,2022-01-05,Algiers,36.75,3.06,1
2022-01-06,12.1,6.8,7.4,2022-01-06,Algiers,36.75,3.06,1
2022-01-07,12.4,5.6,0.8,2022-01-07,Algiers,36.75,3.06,1
2022-01-08,14.0,5.7,0.0,2022-01-08,Algiers,36.75,3.06,1
2022-01-09,15.8,8.7,0.0,2022-01-09,Algiers,36.75,3.06,1
2022-01-10,16.9,12.6,1.0,2022-01-10,Algiers,36.75,3.06,1
2022-01-11,13.7,8.2,0.6,2022-01-11,Algiers,36.75,3.06,1
2022-01-12,13.1,7.0,0.5,2022-01-12,Algiers,36.75,3.06,1
2022-01-13,12.9,8.1,1.7,2022-01-13,Algiers,36.75,3.06,1
2022-01-14,14.0,5.0,0.0,2022-01-14,Algiers,36.75,3.06,1
2022-01-15,14.2,3.6,0.0,2022-01-15,Algiers,36.75,3.06,1
2022-01-16,13.8,5.1,0.0,2022-01-16,Algiers,36.75,3.06,1
2022-01-17,14.0,5.7,0.0,2022-01-17,Algiers,36.75,3.06,1
2022-01-18,14.5,4.7,0.0,2022-01-18,Algiers,36.75,3.06,1
2022-01-19,15.9,4.6,0.0,2022-01-19,Algiers,36.75,3.06,1
2022-01-20,14.1,3.2,0.0,2022-01-20,Algiers,36.75,3.06,1
2022-01-21,14.2,3.9,0.0,2022-01-21,Algiers,36.75,3.06,1
2022-01-22,13.0,6.9,0.4,2022-01-22,Algiers,36.75,3.06,1
2022-01-23,14.2,4.9,0.0,2022-01-23,Algiers,36.75,3.06,1
2022-01-24,14.9,3.9,0.0,2022-01-24,Algiers,36.75,3.06,1
2022-01-25,15.2,4.0,0.0,2022-01-25,Algiers,36.75,3.06,1
2022-01-26,18.0,5.9,0.0,2022-01-26,Algiers,36.75,3.06,1
2022-01-27,16.2,6.0,0.0,2022-01-27,Algiers,36.75,3.06,1
2022-01-28,16.1,3.2,0.0,2022-01-28,Algiers,36.75,3.06,1
2022-01-29,16.0,3.0,0.0,2022-01-29,Algiers,36.75,3.06,1
2022-01-30,15.4,4.2,0.0,2022-01-30,Algiers,36.75,3.06,1
2022-01-31,17.5,3.9,0.0,2022-01-31,Algiers,36.75,3.06,1
2022-02-01,14.4,7.0,0.9,2022-02-01,Algiers,36.75,3.06,2
2022-02-02,18.1,6.6,0.0,2022-02-02,Algiers,36.75,3.06,2
2022-02-03,23.3,6.4,0.0,2022-02-03,Algiers,36.75,3.06,2
2022-02-04,20.2,6.3,0.0,2022-02-04,Algiers,36.75,3.06,2
2022-02-05,17.0,9.8,0.0,2022-02-05,Algiers,36.75,3.06,2
2022-02-06,16.4,9.4,0.0,2022-02-06,Algiers,36.75,3.06,2
2022-02-07,16.1,6.0,0.0,2022-02-07,Algiers,36.75,3.06,2
2022-02-08,15.3,6.1,0.0,2022-02-08,Algiers,36.75,3.06,2
2022-02-09,16.9,5.5,0.0,2022-02-09,Algiers,36.75,3.06,2
2022-02-10,16.6,4.9,0.0,2022-02-10,Algiers,36.75,3.06,2
2022-02-11,15.1,7.7,0.2,2022-02-11,Algiers,36.75,3.06,2
2022-02-12,14.4,7.4,0.3,2022-02-12,Algiers,36.75,3.06,2
2022-02-13,16.3,5.5,0.0,2022-02-13,Algiers,36.75,3.06,2
2022-02-14,19.1,4.9,3.3,2022-02-14,Algiers,36.75,3.06,2
2022-02-15,15.8,7.7,0.5,2022-02-15,Algiers,36.75,3.06,2
2022-02-16,17.0,7.0,0.0,2022-02-16,Algiers,36.75,3.06,2
2022-02-17,18.7,8.4,0.0,2022-02-17,Algiers,36.75,3.06,2
2022-02-18,21.4,7.0,0.0,2022-02-18,Algiers,36.75,3.06,2
2022-02-19,18.1,11.1,0.0,2022-02-19,Algiers,36.75,3.06,2
2022-02-20,15.9,9.1,0.5,2022-02-20,Algiers,36.75,3.06,2
2022-02-21,17.7,5.8,0.0,2022-02-21,Algiers,36.75,3.06,2
2022-02-22,17.5,7.2,0.0,2022-02-22,Algiers,36.75,3.06,2
2022-02-23,17.6,5.7,0.0,2022-02-23,Algiers,36.75,3.06,2
2022-02-24,21.3,9.9,0.0,2022-02-24,Algiers,36.75,3.06,2
2022-02-25,16.2,10.2,0.0,2022-02-25,Algiers,36.75,3.06,2
2022-02-26,15.0,10.9,0.0,2022-02-26,Algiers,36.75,3.06,2
2022-02-27,15.1,10.7,7.6,2022-02-27,Algiers,36.75,3.06,2
