city,month,predicted_max_temp,predicted_precipitation
Algiers,1,13.456157,1.8998824
Algiers,2,14.8895,2.0999937
Algiers,3,17.823557,1.5999519
Algiers,4,18.326777,1.8998824
Algiers,5,21.424114,1.8998824
Algiers,6,25.960566,0.59999
Algiers,7,31.613995,1.9458528e-05
Algiers,8,30.061718,0.09999889
Algiers,9,27.195148,0.29999682
Algiers,10,25.985558,0.89998585
Algiers,11,20.495173,1.499979
Algiers,12,16.53856,1.2999644
Oran,1,14.8440895,0.89998585
Oran,2,15.559805,1.1999835
Oran,3,18.42326,1.499979
Oran,4,19.5685,0.7999817
Oran,5,21.729013,1.0999686
Oran,6,26.082722,0.39997658
Oran,7,32.38103,1.9458528e-05
Oran,8,33.075554,1.9458528e-05
Oran,9,26.744692,0.7999817
Oran,10,25.248318,0.59999
Oran,11,20.703695,0.5000113
Oran,12,17.084599,0.59999
Bejaia,1,14.283239,2.1999578
Bejaia,2,15.678172,2.7999277
Bejaia,3,18.056175,1.5999519
Bejaia,4,18.881397,2.0000243
Bejaia,5,21.464108,2.2999756
Bejaia,6,25.614447,0.59999
Bejaia,7,29.522121,0.09999889
Bejaia,8,29.658522,0.19999643
Bejaia,9,28.257524,0.99998707
Bejaia,10,25.372654,1.0999686
Bejaia,11,20.782312,2.0000243
Bejaia,12,16.386538,2.499969
Annaba,1,14.318088,2.0000243
Annaba,2,14.910517,1.799979
Annaba,3,17.94879,1.2999644
Annaba,4,19.373821,1.2999644
Annaba,5,21.780619,3.4999757
Annaba,6,27.574688,1.1999835
Annaba,7,35.001667,1.9458528e-05
Annaba,8,32.6876,0.09999889
Annaba,9,29.69136,1.0999686
Annaba,10,27.47415,0.7999817
Annaba,11,21.215908,2.2999756
Annaba,12,16.599657,2.0000243
Mostaganem,1,14.770136,1.2999644
Mostaganem,2,15.584168,1.6999736
Mostaganem,3,17.478325,1.499979
Mostaganem,4,17.886042,1.499979
Mostaganem,5,22.090588,0.59999
Mostaganem,6,24.83998,0.29999682
Mostaganem,7,29.985483,1.9458528e-05
Mostaganem,8,31.17854,1.9458528e-05
Mostaganem,9,26.376297,0.5000113
Mostaganem,10,25.157423,0.59999
Mostaganem,11,20.591188,0.99998707
Mostaganem,12,17.164717,1.0999686
Tipaza,1,15.4011,1.3999705
Tipaza,2,15.414362,2.1999578
Tipaza,3,17.711142,1.6999736
Tipaza,4,18.34633,1.799979
Tipaza,5,20.931683,1.8998824
Tipaza,6,25.434277,0.5000113
Tipaza,7,31.451374,1.9458528e-05
Tipaza,8,31.786028,1.9458528e-05
Tipaza,9,26.916674,0.59999
Tipaza,10,26.098486,0.59999
Tipaza,11,19.92684,1.1999835
Tipaza,12,16.818607,1.1999835
Skikda,1,14.705516,3.0999932
Skikda,2,14.809663,2.499969
Skikda,3,17.58218,1.799979
Skikda,4,18.467983,1.5999519
Skikda,5,20.065992,4.0000415
Skikda,6,25.771282,0.89998585
Skikda,7,32.863358,1.9458528e-05
Skikda,8,30.867975,0.19999643
Skikda,9,27.65442,1.0999686
Skikda,10,25.851988,0.7999817
Skikda,11,19.983109,3.7999692
Skikda,12,16.77627,2.5998845
